MUNICIPIO,CODIGO DANE INSTITUCIÓN,ESTABLECIMIENTO EDUCATIVO,CODIGO DANE SEDE,SEDE,VEREDA
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000023,EL RODEO,RODEO
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000112,TOLDO ARRIBA,TOLDO ARRIBA
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000082,TOLDO ABAJO,TOLDO ABAJO
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000368,MACANALITO NORTE,MACANALITO NORTE
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000309,HUERTA VIEJA ABAJO,HUERTA VIEJA ABAJO
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000104,SAN JOSE,SAN JOSE
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000094,TOBA UNO,TOBA UNO
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000035,CUBAGOTE,CUBAGOTE
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000183,TOBA DOS,TOBA DOS
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000086,NOVARE,NOVARE
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000051,EL HATO,EL HATO
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000167,SAN VICTORINO,SAN VICTORINO
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000191,MARTINEZ PEÑA,MARTINEZ PEÑA
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000060,LA MESETA,LA MESETA
CERINZA,115162000120,INSTITUCIÓN EDUCATIVA DE CERINZA,215162000043,EL CHITAL,EL CHITAL
CHINAVITA,215172000050,INSTITUCIÓN EDUCATIVA JUAN DE JESUS ACEVEDO,215172000050,INSTITUCIÓN EDUCATIVA JUAN DE JESÚS ACEVEDO SEDE PRINCIPAL,MONTEJO
CHINAVITA,215172000050,INSTITUCIÓN EDUCATIVA JUAN DE JESUS ACEVEDO,215172000157,GUAYABAL,GUAYABAL
CHINAVITA,215172000050,INSTITUCIÓN EDUCATIVA JUAN DE JESUS ACEVEDO,215172000181,USILLO,USILLO
CHINAVITA,215172000050,INSTITUCIÓN EDUCATIVA JUAN DE JESUS ACEVEDO,215172000114,VALLE,VALLE
